timestamp,device_id,protocol,event_type,cycle,value,severity,source_ip
2025-08-01T08:00:00Z,OpenPLC-005,OpenPLC,logic_injection,77,ok,info,192.168.3.152
2025-08-01T08:00:08Z,OpenPLC-005,OpenPLC,cycle_end,30,ok,info,192.168.2.163
2025-08-01T08:00:18Z,OpenPLC-004,OpenPLC,logic_injection,45,ok,info,192.168.5.228
2025-08-01T08:00:26Z,OpenPLC-001,OpenPLC,cycle_start,90,ok,info,192.168.5.73
2025-08-01T08:00:36Z,OpenPLC-002,OpenPLC,cycle_end,50,ok,info,192.168.2.120
2025-08-01T08:00:46Z,OpenPLC-003,OpenPLC,cycle_end,3,ok,info,192.168.1.81
2025-08-01T08:00:51Z,OpenPLC-005,OpenPLC,logic_injection,9,ok,info,192.168.3.144
2025-08-01T08:00:59Z,OpenPLC-002,OpenPLC,logic_injection,48,ok,info,192.168.4.148
2025-08-01T08:01:05Z,OpenPLC-003,OpenPLC,logic_injection,44,ok,info,192.168.0.121
2025-08-01T08:01:13Z,OpenPLC-001,OpenPLC,cycle_start,1,ok,info,192.168.2.192
2025-08-01T08:01:23Z,OpenPLC-005,OpenPLC,cycle_start,92,ok,info,192.168.5.198
2025-08-01T08:01:28Z,OpenPLC-004,OpenPLC,cycle_end,43,ok,info,192.168.4.77
2025-08-01T08:01:34Z,OpenPLC-004,OpenPLC,cycle_end,29,ok,info,192.168.0.152
2025-08-01T08:01:44Z,OpenPLC-004,OpenPLC,logic_injection,9,ok,info,192.168.4.145
2025-08-01T08:01:51Z,OpenPLC-003,OpenPLC,cycle_end,72,ok,info,192.168.3.6
2025-08-01T08:01:58Z,OpenPLC-002,OpenPLC,logic_injection,67,ok,info,192.168.1.222
2025-08-01T08:02:08Z,OpenPLC-001,OpenPLC,cycle_start,51,ok,info,192.168.1.68
2025-08-01T08:02:17Z,OpenPLC-001,OpenPLC,cycle_end,41,ok,info,192.168.5.210
2025-08-01T08:02:27Z,OpenPLC-001,OpenPLC,cycle_start,21,ok,info,192.168.3.237
2025-08-01T08:02:34Z,OpenPLC-002,OpenPLC,cycle_end,54,ok,info,192.168.3.106
2025-08-01T08:02:43Z,OpenPLC-003,OpenPLC,cycle_start,3,ok,info,192.168.2.156
2025-08-01T08:02:51Z,OpenPLC-001,OpenPLC,logic_injection,4,ok,info,192.168.2.236
